Year;Datetime;Stage;Stadium;City;Home Team Name;Home Team Goals;Away Team Goals;Away Team Name;Attendance
2006;14 Jun 2006 - 21:00 ;Group A;FIFA World Cup Stadium, Dortmund;Dortmund ;Germany;1;0;Poland;65000
2006;15 Jun 2006 - 15:00 ;Group A;FIFA World Cup Stadium, Hamburg;Hamburg ;Ecuador;3;0;Costa Rica;50000
2006;15 Jun 2006 - 18:00 ;Group B;Franken-Stadion;Nuremberg ;England;2;0;"rn"">Trinidad and Tobago";41000
2006;15 Jun 2006 - 21:00 ;Group B;Olympiastadion;Berlin ;Sweden;1;0;Paraguay;72000
2006;16 Jun 2006 - 15:00 ;Group C;FIFA World Cup Stadium, Gelsenkirchen;Gelsenkirchen ;Argentina;6;0;"rn"">Serbia and Montenegro";52000
2006;16 Jun 2006 - 18:00 ;Group C;Gottlieb-Daimler-Stadion;Stuttgart ;Netherlands;2;1;C�te d'Ivoire;52000
2006;16 Jun 2006 - 21:00 ;Group D;FIFA World Cup Stadium, Hanover;Hanover ;Mexico;0;0;Angola;43000
2006;17 Jun 2006 - 15:00 ;Group D;FIFA World Cup Stadium, Frankfurt;Frankfurt/Main ;Portugal;2;0;IR Iran;48000
2006;17 Jun 2006 - 18:00 ;Group E;FIFA World Cup Stadium, Cologne;Cologne ;Czech Republic;0;2;Ghana;45000
2006;17 Jun 2006 - 21:00 ;Group E;Fritz-Walter-Stadion;Kaiserslautern ;Italy;1;1;USA;46000
2006;18 Jun 2006 - 15:00 ;Group F;Franken-Stadion;Nuremberg ;Japan;0;0;Croatia;41000
2006;18 Jun 2006 - 18:00 ;Group F;FIFA World Cup Stadium, Munich;Munich ;Brazil;2;0;Australia;66000
2006;18 Jun 2006 - 21:00 ;Group G;Zentralstadion;Leipzig ;France;1;1;Korea Republic;43000
2006;19 Jun 2006 - 15:00 ;Group G;FIFA World Cup Stadium, Dortmund;Dortmund ;Togo;0;2;Switzerland;65000
2006;19 Jun 2006 - 18:00 ;Group H;FIFA World Cup Stadium, Hamburg;Hamburg ;Saudi Arabia;0;4;Ukraine;50000
2006;19 Jun 2006 - 21:00 ;Group H;Gottlieb-Daimler-Stadion;Stuttgart ;Spain;3;1;Tunisia;52000
2006;20 Jun 2006 - 16:00 ;Group A;Olympiastadion;Berlin ;Ecuador;0;3;Germany;72000
2006;20 Jun 2006 - 16:00 ;Group A;FIFA World Cup Stadium, Hanover;Hanover ;Costa Rica;1;2;Poland;43000
2006;20 Jun 2006 - 21:00 ;Group B;FIFA World Cup Stadium, Cologne;Cologne ;Sweden;2;2;England;45000
2006;20 Jun 2006 - 21:00 ;Group B;Fritz-Walter-Stadion;Kaiserslautern ;Paraguay;2;0;"rn"">Trinidad and Tobago";46000
2006;21 Jun 2006 - 16:00 ;Group D;Zentralstadion;Leipzig ;Iran;1;1;Angola;38000
2006;21 Jun 2006 - 16:00 ;Group D;FIFA World Cup Stadium, Gelsenkirchen;Gelsenkirchen ;Portugal;2;1;Mexico;52000
2006;21 Jun 2006 - 21:00 ;Group C;FIFA World Cup Stadium, Frankfurt;Frankfurt/Main ;Netherlands;0;0;Argentina;48000
2006;21 Jun 2006 - 21:00 ;Group C;FIFA World Cup Stadium, Munich;Munich ;C�te d'Ivoire;3;2;"rn"">Serbia and Montenegro";66000
2006;22 Jun 2006 - 16:00 ;Group E;FIFA World Cup Stadium, Hamburg;Hamburg ;Czech Republic;0;2;Italy;50000
2006;22 Jun 2006 - 16:00 ;Group E;Franken-Stadion;Nuremberg ;Ghana;2;1;USA;41000
2006;22 Jun 2006 - 21:00 ;Group F;FIFA World Cup Stadium, Dortmund;Dortmund ;Japan;1;4;Brazil;65000
2006;22 Jun 2006 - 21:00 ;Group F;Gottlieb-Daimler-Stadion;Stuttgart ;Croatia;2;2;Australia;52000
2006;23 Jun 2006 - 16:00 ;Group H;Olympiastadion;Berlin ;Ukraine;1;0;Tunisia;72000
2006;23 Jun 2006 - 16:00 ;Group H;Fritz-Walter-Stadion;Kaiserslautern ;Saudi Arabia;0;1;Spain;46000
2006;23 Jun 2006 - 21:00 ;Group G;FIFA World Cup Stadium, Cologne;Cologne ;Togo;0;2;France;45000
2006;23 Jun 2006 - 21:00 ;Group G;FIFA World Cup Stadium, Hanover;Hanover ;Switzerland;2;0;Korea Republic;43000
2006;24 Jun 2006 - 17:00 ;Round of 16;FIFA World Cup Stadium, Munich;Munich ;Germany;2;0;Sweden;66000
2006;24 Jun 2006 - 21:00 ;Round of 16;Zentralstadion;Leipzig ;Argentina;2;1;Mexico;43000
2006;25 Jun 2006 - 17:00 ;Round of 16;Gottlieb-Daimler-Stadion;Stuttgart ;England;1;0;Ecuador;52000
2006;25 Jun 2006 - 21:00 ;Round of 16;Franken-Stadion;Nuremberg ;Portugal;1;0;Netherlands;41000
2006;26 Jun 2006 - 17:00 ;Round of 16;Fritz-Walter-Stadion;Kaiserslautern ;Italy;1;0;Australia;46000
2006;26 Jun 2006 - 21:00 ;Round of 16;FIFA World Cup Stadium, Cologne;Cologne ;Switzerland;0;0;Ukraine;45000
2006;27 Jun 2006 - 17:00 ;Round of 16;FIFA World Cup Stadium, Dortmund;Dortmund ;Brazil;3;0;Ghana;65000
2006;27 Jun 2006 - 21:00 ;Round of 16;FIFA World Cup Stadium, Hanover;Hanover ;Spain;1;3;France;43000
2006;30 Jun 2006 - 17:00 ;Quarter-finals;Olympiastadion;Berlin ;Germany;1;1;Argentina;72000
2006;30 Jun 2006 - 21:00 ;Quarter-finals;FIFA World Cup Stadium, Hamburg;Hamburg ;Italy;3;0;Ukraine;50000
2006;01 Jul 2006 - 17:00 ;Quarter-finals;FIFA World Cup Stadium, Gelsenkirchen;Gelsenkirchen ;England;0;0;Portugal;52000
2006;01 Jul 2006 - 21:00 ;Quarter-finals;FIFA World Cup Stadium, Frankfurt;Frankfurt/Main ;Brazil;0;1;France;48000
2006;04 Jul 2006 - 21:00 ;Semi-finals;FIFA World Cup Stadium, Dortmund;Dortmund ;Germany;0;2;Italy;65000
2006;05 Jul 2006 - 21:00 ;Semi-finals;FIFA World Cup Stadium, Munich;Munich ;Portugal;0;1;France;66000
2006;08 Jul 2006 - 21:00 ;Third place;Gottlieb-Daimler-Stadion;Stuttgart ;Germany;3;1;Portugal;52000
2006;09 Jul 2006 - 20:00 ;Final;Olympiastadion;Berlin ;Italy;1;1;France;69000
2010;11 Jun 2010 - 16:00 ;Group A;Soccer City Stadium;Johannesburg ;South Africa;1;1;Mexico;84490
2010;11 Jun 2010 - 20:30 ;Group A;Cape Town Stadium;Cape Town ;Uruguay;0;0;France;64100
2010;12 Jun 2010 - 13:30 ;Group B;Port Elizabeth Stadium;Nelson Mandela Bay/Port Elizabeth ;Korea Republic;2;0;Greece;31513
2010;12 Jun 2010 - 16:00 ;Group B;Ellis Park Stadium;Johannesburg ;Argentina;1;0;Nigeria;55686
2010;12 Jun 2010 - 20:30 ;Group C;Royal Bafokeng Sports Palace;Phokeng ;England;1;1;USA;38646
2010;13 Jun 2010 - 13:30 ;Group C;Peter Mokaba Stadium;Polokwane ;Algeria;0;1;Slovenia;30325
